osmid,y,x,street_count,highway,ref,geometry
122452409,41.1606069,-8.5943292,3,,,POINT (-8.5943292 41.1606069)
122452412,41.1611025,-8.5982534,4,traffic_signals,,POINT (-8.5982534 41.1611025)
122452414,41.1613654,-8.60031,4,traffic_signals,,POINT (-8.60031 41.1613654)
122452417,41.1615383,-8.6016969,3,,,POINT (-8.6016969 41.1615383)
122452424,41.1621694,-8.6068578,4,traffic_signals,,POINT (-8.6068578 41.1621694)
122452425,41.1624758,-8.6092234,4,traffic_signals,,POINT (-8.6092234 41.1624758)
122452427,41.1627093,-8.6111351,4,,,POINT (-8.6111351 41.1627093)
122452429,41.1628962,-8.6126189,3,,,POINT (-8.6126189 41.1628962)
122452434,41.1639052,-8.6207018,4,,,POINT (-8.6207018 41.1639052)
122491912,41.1776376,-8.5829121,4,,,POINT (-8.5829121 41.1776376)
122491913,41.1743566,-8.5845737,4,,,POINT (-8.5845737 41.1743566)
122522947,41.1538012,-8.679142,3,,,POINT (-8.679142 41.1538012)
122523494,41.1522916,-8.6776262,3,,,POINT (-8.6776262 41.1522916)
122523605,41.1545943,-8.6797373,3,,,POINT (-8.6797373 41.1545943)
122525234,41.152985,-8.6783507,3,,,POINT (-8.6783507 41.152985)
122525425,41.1528979,-8.6785578,3,,,POINT (-8.6785578 41.1528979)
122528341,41.1494088,-8.6755597,3,,,POINT (-8.6755597 41.1494088)
122528346,41.149878,-8.6758709,3,,,POINT (-8.6758709 41.149878)
122528348,41.150286,-8.6759929,3,,,POINT (-8.6759929 41.150286)
122528349,41.1506522,-8.6762608,4,,,POINT (-8.6762608 41.1506522)
122528351,41.1510805,-8.6765626,3,,,POINT (-8.6765626 41.1510805)
122549700,41.1442618,-8.623564,3,,,POINT (-8.623564 41.1442618)
126397454,41.1567787,-8.6455756,3,,,POINT (-8.6455756 41.1567787)
126401360,41.1549288,-8.6480341,3,,,POINT (-8.6480341 41.1549288)
126401368,41.1573769,-8.6454697,3,,,POINT (-8.6454697 41.1573769)
